Glyph,Name ,Character(s) 
⇕,DoubleUpDownArrow; ,U+021D5 
∥,DoubleVerticalBar; ,U+02225 
↓,DownArrow; ,U+02193 
⇓,Downarrow; ,U+021D3 
↓,downarrow; ,U+02193 
⤓,DownArrowBar; ,U+02913 
⇵,DownArrowUpArrow; ,U+021F5 
◌̑,DownBreve; ,U+00311 
⇊,downdownarrows; ,U+021CA 
⇃,downharpoonleft; ,U+021C3 
⇂,downharpoonright; ,U+021C2 
⥐,DownLeftRightVector; ,U+02950 
⥞,DownLeftTeeVector; ,U+0295E 
↽,DownLeftVector; ,U+021BD 
⥖,DownLeftVectorBar; ,U+02956 
⥟,DownRightTeeVector; ,U+0295F 
⇁,DownRightVector; ,U+021C1 
⥗,DownRightVectorBar; ,U+02957 
⊤,DownTee; ,U+022A4 
↧,DownTeeArrow; ,U+021A7 
⤐,drbkarow; ,U+02910 
⌟,drcorn; ,U+0231F 
⌌,drcrop; ,U+0230C 
𝒟,Dscr; ,U+1D49F 
𝒹,dscr; ,U+1D4B9 
Ѕ,DScy; ,U+00405 
ѕ,dscy; ,U+00455 
⧶,dsol; ,U+029F6 
Đ,Dstrok; ,U+00110 
đ,dstrok; ,U+00111 
⋱,dtdot; ,U+022F1 
▿,dtri; ,U+025BF 
▾,dtrif; ,U+025BE 
⇵,duarr; ,U+021F5 
⥯,duhar; ,U+0296F 
⦦,dwangle; ,U+029A6 
Џ,DZcy; ,U+0040F 
џ,dzcy; ,U+0045F 
⟿,dzigrarr; ,U+027FF 
É,Eacute; ,U+000C9 
É,Eacute ,U+000C9 
é,eacute; ,U+000E9 
é,eacute ,U+000E9 
⩮,easter; ,U+02A6E 
Ě,Ecaron; ,U+0011A 
ě,ecaron; ,U+0011B 
≖,ecir; ,U+02256 
Ê,Ecirc; ,U+000CA 
Ê,Ecirc ,U+000CA 
ê,ecirc; ,U+000EA 
ê,ecirc ,U+000EA 
≕,ecolon; ,U+02255 
Э,Ecy; ,U+0042D 
э,ecy; ,U+0044D 
⩷,eDDot; ,U+02A77 
Ė,Edot; ,U+00116 
≑,eDot; ,U+02251 
ė,edot; ,U+00117 
ⅇ,ee; ,U+02147 
≒,efDot; ,U+02252 
𝔈,Efr; ,U+1D508 
𝔢,efr; ,U+1D522 
⪚,eg; ,U+02A9A 
È,Egrave; ,U+000C8 
È,Egrave ,U+000C8 
è,egrave; ,U+000E8 
è,egrave ,U+000E8 
⪖,egs; ,U+02A96 
⪘,egsdot; ,U+02A98 
⪙,el; ,U+02A99 
∈,Element; ,U+02208 
⏧,elinters; ,U+023E7 
ℓ,ell; ,U+02113 
⪕,els; ,U+02A95 
⪗,elsdot; ,U+02A97 
Ē,Emacr; ,U+00112 
ē,emacr; ,U+00113 
∅,empty; ,U+02205 
∅,emptyset; ,U+02205 
◻,EmptySmallSquare; ,U+025FB 
∅,emptyv; ,U+02205 
▫,EmptyVerySmallSquare; ,U+025AB 
 ,emsp; ,U+02003 
 ,emsp13; ,U+02004 
 ,emsp14; ,U+02005 
Ŋ,ENG; ,U+0014A 
ŋ,eng; ,U+0014B 
 ,ensp; ,U+02002 
Ę,Eogon; ,U+00118 
ę,eogon; ,U+00119 
𝔼,Eopf; ,U+1D53C 
𝕖,eopf; ,U+1D556 
⋕,epar; ,U+022D5 
⧣,eparsl; ,U+029E3 
⩱,eplus; ,U+02A71 
ε,epsi; ,U+003B5 
Ε,Epsilon; ,U+00395 
ε,epsilon; ,U+003B5 
ϵ,epsiv; ,U+003F5 
≖,eqcirc; ,U+02256 
≕,eqcolon; ,U+02255 
≂,eqsim; ,U+02242 
⪖,eqslantgtr; ,U+02A96 
⪕,eqslantless; ,U+02A95 
⩵,Equal; ,U+02A75 
=,equals; ,U+0003D 
≂,EqualTilde; ,U+02242 
≟,equest; ,U+0225F 
⇌,Equilibrium; ,U+021CC 
≡,equiv; ,U+02261 
⩸,equivDD; ,U+02A78 
⧥,eqvparsl; ,U+029E5 
⥱,erarr; ,U+02971 
≓,erDot; ,U+02253 
ℰ,Escr; ,U+02130 
ℯ,escr; ,U+0212F 
≐,esdot; ,U+02250 
⩳,Esim; ,U+02A73 
≂,esim; ,U+02242 
Η,Eta; ,U+00397 
η,eta; ,U+003B7 
Ð,ETH; ,U+000D0 
Ð,ETH ,U+000D0 
ð,eth; ,U+000F0 
ð,eth ,U+000F0 
Ë,Euml; ,U+000CB 
Ë,Euml ,U+000CB 
ë,euml; ,U+000EB 
ë,euml ,U+000EB 
€,euro; ,U+020AC 
!,excl; ,U+00021 
∃,exist; ,U+02203 
∃,Exists; ,U+02203 
ℰ,expectation; ,U+02130 
ⅇ,ExponentialE; ,U+02147 
ⅇ,exponentiale; ,U+02147 
≒,fallingdotseq; ,U+02252 
Ф,Fcy; ,U+00424 
ф,fcy; ,U+00444 
♀,female; ,U+02640 
ﬃ,ffilig; ,U+0FB03 
ﬀ,fflig; ,U+0FB00 
ﬄ,ffllig; ,U+0FB04 
𝔉,Ffr; ,U+1D509 
𝔣,ffr; ,U+1D523 
ﬁ,filig; ,U+0FB01 
◼,FilledSmallSquare; ,U+025FC 
▪,FilledVerySmallSquare; ,U+025AA 
fj,fjlig; ,U+00066 U+0006A 
♭,flat; ,U+0266D 
ﬂ,fllig; ,U+0FB02 
▱,fltns; ,U+025B1 
ƒ,fnof; ,U+00192 
𝔽,Fopf; ,U+1D53D 
𝕗,fopf; ,U+1D557 
∀,ForAll; ,U+02200 
∀,forall; ,U+02200 
⋔,fork; ,U+022D4 
⫙,forkv; ,U+02AD9 
ℱ,Fouriertrf; ,U+02131 
⨍,fpartint; ,U+02A0D 
½,frac12; ,U+000BD 
½,frac12 ,U+000BD 
⅓,frac13; ,U+02153 
¼,frac14; ,U+000BC 
¼,frac14 ,U+000BC 
⅕,frac15; ,U+02155 
⅙,frac16; ,U+02159 
⅛,frac18; ,U+0215B 
⅔,frac23; ,U+02154 
⅖,frac25; ,U+02156 
¾,frac34; ,U+000BE 
¾,frac34 ,U+000BE 
⅗,frac35; ,U+02157 
⅜,frac38; ,U+0215C 
⅘,frac45; ,U+02158 
⅚,frac56; ,U+0215A 
⅝,frac58; ,U+0215D 
⅞,frac78; ,U+0215E 
⁄,frasl; ,U+02044 
⌢,frown; ,U+02322 
ℱ,Fscr; ,U+02131 
𝒻,fscr; ,U+1D4BB 
ǵ,gacute; ,U+001F5 
Γ,Gamma; ,U+00393 
γ,gamma; ,U+003B3 
Ϝ,Gammad; ,U+003DC 
ϝ,gammad; ,U+003DD 
⪆,gap; ,U+02A86 
Ğ,Gbreve; ,U+0011E 
ğ,gbreve; ,U+0011F 
Ģ,Gcedil; ,U+00122 
Ĝ,Gcirc; ,U+0011C 
ĝ,gcirc; ,U+0011D 
Г,Gcy; ,U+00413 
г,gcy; ,U+00433 
Ġ,Gdot; ,U+00120 
ġ,gdot; ,U+00121 
≧,gE; ,U+02267 
≥,ge; ,U+02265 
⪌,gEl; ,U+02A8C 
⋛,gel; ,U+022DB 
≥,geq; ,U+02265 
≧,geqq; ,U+02267 
⩾,geqslant; ,U+02A7E 
⩾,ges; ,U+02A7E 
⪩,gescc; ,U+02AA9 
⪀,gesdot; ,U+02A80 
⪂,gesdoto; ,U+02A82 
⪄,gesdotol; ,U+02A84 
⋛︀,gesl; ,U+022DB U+0FE00 
⪔,gesles; ,U+02A94 
𝔊,Gfr; ,U+1D50A 
𝔤,gfr; ,U+1D524 
⋙,Gg; ,U+022D9 
≫,gg; ,U+0226B 
⋙,ggg; ,U+022D9 
ℷ,gimel; ,U+02137 
Ѓ,GJcy; ,U+00403 
ѓ,gjcy; ,U+00453 
≷,gl; ,U+02277 
⪥,gla; ,U+02AA5 
⪒,glE; ,U+02A92 
⪤,glj; ,U+02AA4 
⪊,gnap; ,U+02A8A 
⪊,gnapprox; ,U+02A8A 
≩,gnE; ,U+02269 
⪈,gne; ,U+02A88 
⪈,gneq; ,U+02A88 
≩,gneqq; ,U+02269 
⋧,gnsim; ,U+022E7 
